customer_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital.gains,capital.loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
10001,234,30,OH,250/500,1,580,2,MALE,MD,craft-repair,sleeping,husband,188,354,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,20,1,YES,2,2,YES,554,3,109,525,Saab,92x,10,Y
10002,138,24,IN,250/500,2,244,7,MALE,MD,machine-op-inspct,reading,other-relative,1,354,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Riverwood,23,1,NO,1,0,YES,206,1,544,167,Mercedes,E400,13,Y
10003,41,11,OH,100/300,2,588,7,FEMALE,PhD,sales,board-games,own-child,64,354,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,22,3,NO,3,3,NO,58,4,269,27,Dodge,RAM,13,N
10006,167,21,OH,250/500,1,489,2,FEMALE,PhD,tech-support,bungie-jumping,unmarried,1,354,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,12,3,NO,1,2,NO,441,3,444,509,Saab,95,9,Y
10007,44,16,IN,250/500,1,459,2,MALE,PhD,prof-specialty,board-games,husband,1,324,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,1,3,NO,1,0,YES,645,1,504,488,Nissan,Pathfinder,18,N
10008,74,19,IL,100/300,1,163,2,MALE,Associate,tech-support,base-jumping,unmarried,1,354,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,17,3,NO,3,2,YES,222,3,607,127,Audi,A5,21,N
10009,180,15,IL,100/300,3,624,2,FEMALE,PhD,other-service,golf,own-child,1,354,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,15,1,NO,2,1,YES,28,2,244,22,Toyota,Camry,18,N
10010,123,24,IL,100/300,3,434,2,MALE,PhD,priv-house-serv,camping,wife,1,88,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,7,1,NO,3,1,YES,114,2,311,129,Saab,92x,2,N
10012,317,43,OH,100/300,2,164,2,FEMALE,High School,exec-managerial,skydiving,other-relative,1,173,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,15,3,YES,2,2,YES,15,3,216,725,Audi,A3,12,N
10013,352,5,OH,500/1000,3,268,5,MALE,MD,protective-serv,reading,wife,1,354,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,24,1,YES,2,0,NO,312,1,609,311,Saab,95,6,N
10014,27,16,OH,100/300,1,929,2,FEMALE,MD,armed-forces,bungie-jumping,wife,183,51,Parked Car,Rear Collision,Minor Damage,None,SC,Springfield,20,1,NO,2,1,NO,566,2,46,492,Toyota,Highlander,16,N
10018,47,13,IN,500/1000,3,850,8,MALE,High School,machine-op-inspct,reading,unmarried,190,354,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,24,1,NO,1,2,YES,633,3,498,600,Suburu,Legacy,21,N
